epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6058,1.8807,0.58079,0.29497,0.84067,1.17166,1,1,0.995,0.5225,1,1,0.995,0.995,1.89548,0.11609,0.11305,0.68445,1.52729,0,0,0
2,14.5416,1.76747,0.47338,0.49675,0.69213,1.23215,1,1,0.995,0.5225,1,1,0.995,0.995,1.88732,0.11299,0.11409,0.68195,1.5173,1.96E-05,1.96E-05,1.96E-05
3,17.0636,2.10073,0.43299,0.20025,0.7278,1.28631,1,1,0.995,0.48525,1,1,0.995,0.995,1.87651,0.10914,0.11618,0.68033,1.49581,3.84E-05,3.84E-05,3.84E-05
4,19.3936,2.02727,0.62787,0.31971,0.85311,1.15983,1,1,0.995,0.5225,1,1,0.995,0.995,1.87486,0.11383,0.11899,0.68587,1.47474,5.64E-05,5.64E-05,5.64E-05
5,21.59,1.70967,0.21531,0.11279,0.88595,1.2355,1,1,0.995,0.5225,1,1,0.995,0.995,1.83882,0.13395,0.12235,0.67882,1.45022,7.37E-05,7.37E-05,7.37E-05
6,23.8168,1.74484,0.25971,0.28591,0.68157,1.00708,1,1,0.995,0.58475,1,1,0.995,0.995,1.80258,0.16391,0.12525,0.65953,1.4358,9.01E-05,9.01E-05,9.01E-05
7,26.2614,1.2659,0.35723,0.16211,0.63129,1.13546,1,1,0.995,0.647,1,1,0.995,0.995,1.76525,0.19596,0.129,0.60952,1.43364,0.000105744,0.000105744,0.000105744
8,28.7177,1.37151,0.42492,0.1881,0.65661,1.06181,1,1,0.995,0.58475,1,1,0.995,0.995,1.75224,0.21529,0.12937,0.5937,1.41498,0.000120596,0.000120596,0.000120596
9,31.0155,1.64777,0.45543,0.17032,0.74635,1.23411,1,1,0.995,0.622,1,1,0.995,0.995,1.75389,0.21557,0.12756,0.61493,1.38841,0.000134656,0.000134656,0.000134656
10,33.3965,1.38636,0.41733,0.26358,0.65831,1.03097,1,1,0.995,0.535,1,1,0.995,0.995,1.73695,0.20891,0.12459,0.62798,1.35223,0.000147924,0.000147924,0.000147924
11,35.9385,1.53322,0.35177,0.34882,0.71833,0.99818,1,1,0.995,0.597,1,1,0.995,0.995,1.7221,0.19493,0.11958,0.63172,1.32909,0.0001604,0.0001604,0.0001604
